accuracy; max_depth; splitter; criterion; min_sample_split; removed_columns;attributes
1.0;2;random;entropy;2;['Age', 'SibSp'];['index', 'Pclass', 'Sex', 'Parch', 'Fare', 'Embarked']
1.0;2;random;entropy;10;['Age', 'SibSp'];['index', 'Pclass', 'Sex', 'Parch', 'Fare', 'Embarked']
1.0;2;random;gini;2;['Age', 'SibSp'];['index', 'Pclass', 'Sex', 'Parch', 'Fare', 'Embarked']
1.0;2;random;gini;10;['Age', 'SibSp'];['index', 'Pclass', 'Sex', 'Parch', 'Fare', 'Embarked']
0.8651315789473684;4;best;entropy;2;['Age'];['index', 'Pclass', 'Sex', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8651315789473684;4;best;entropy;2;['Age', 'SibSp'];['index', 'Pclass', 'Sex', 'Parch', 'Fare', 'Embarked']
0.8651315789473684;4;best;entropy;10;['Age'];['index', 'Pclass', 'Sex', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8651315789473684;4;best;entropy;10;['Age', 'SibSp'];['index', 'Pclass', 'Sex', 'Parch', 'Fare', 'Embarked']
0.8651315789473684;4;best;gini;2;['Age'];['index', 'Pclass', 'Sex', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8651315789473684;4;best;gini;10;['Age'];['index', 'Pclass', 'Sex', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8651315789473684;4;random;entropy;10;['Age'];['index', 'Pclass', 'Sex', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8651315789473684;4;random;gini;10;['Age'];['index', 'Pclass', 'Sex', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8613721804511278;4;best;entropy;2;['SibSp'];['index', 'Pclass', 'Sex', 'Age', 'Parch', 'Fare', 'Embarked']
0.8613721804511278;4;best;entropy;10;['SibSp'];['index', 'Pclass', 'Sex', 'Age', 'Parch', 'Fare', 'Embarked']
0.8613721804511278;4;random;entropy;2;['Age'];['index', 'Pclass', 'Sex', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8613721804511278;4;random;gini;2;['Age'];['index', 'Pclass', 'Sex', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8594924812030076;4;random;entropy;10;['SibSp'];['index', 'Pclass', 'Sex', 'Age', 'Parch', 'Fare', 'Embarked']
